participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.og_lotteries_id,player.x1_val,player.x2_val,player.slider_initial,player.slider_val,player.decision_chosen1,player.random_computer_draw,player.get_lottery,player.val_for_payment,player.x1_for_payment,player.x2_for_payment,player.lottery_realization,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,11,10.0,0.0,8.3,5.0,,,,,,,,1,1,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,1,60.0,0.0,58.9,30.0,,,,,,,,1,2,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,13,60.0,5.0,29.6,32.5,,,,,,,,1,3,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,8,25.0,0.0,4.0,12.5,,,,,,,,1,4,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,9,20.0,0.0,0.3,10.0,,,,,,,,1,5,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,22,15.0,5.0,9.4,10.0,,,,,,,,1,6,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,5,40.0,0.0,7.8,20.0,,,,,,,,1,7,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,10,15.0,0.0,2.9,7.5,,,,,,,,1,8,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,26,50.0,10.0,32.5,30.0,,,,,,,,1,9,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,17,40.0,5.0,35.6,22.5,,,,,,,,1,10,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,15,50.0,5.0,19.6,27.5,,,,,,,,1,11,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,3,50.0,0.0,30.5,25.0,,,,,,,,1,12,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,6,35.0,0.0,30.1,17.5,,,,,,,,1,13,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,28,40.0,10.0,13.0,25.0,,,,,,,,1,14,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,4,45.0,0.0,15.3,22.5,,,,,,,,1,15,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,18,35.0,5.0,32.0,20.0,,,,,,,,1,16,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,23,10.0,5.0,8.9,7.5,,,,,,,,1,17,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,29,35.0,10.0,19.2,22.5,,,,,,,,1,18,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,12,5.0,0.0,2.1,2.5,,,,,,,,1,19,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,14,55.0,5.0,12.9,30.0,,,,,,,,1,20,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,7,30.0,0.0,13.8,15.0,,,,,,,,1,21,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,33,15.0,10.0,11.2,12.5,,,,,,,,1,22,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,16,45.0,5.0,44.8,25.0,,,,,,,,1,23,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,20,25.0,5.0,9.1,15.0,,,,,,,,1,24,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,19,30.0,5.0,18.0,17.5,,,,,,,,1,25,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,31,25.0,10.0,24.8,17.5,,,,,,,,1,26,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,25,55.0,10.0,18.9,32.5,,,,,,,,1,27,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,21,20.0,5.0,19.9,12.5,,,,,,,,1,28,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,30,30.0,10.0,18.5,20.0,,,,,,,,1,29,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,27,45.0,10.0,22.8,27.5,,,,,,,,1,30,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,32,20.0,10.0,18.2,15.0,,,,,,,,1,31,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,2,55.0,0.0,8.5,27.5,,,,,,,,1,32,bbhs2xal,,,,,0
1,07dz58x8,,0,122,121,lottery_first_stage,Pre_Decision,2022-04-02 05:09:47.492728+00:00,1,,,0.00,1,,0.00,24,60.0,10.0,49.7,35.0,5,8.0,1,10.0,20.0,0.0,1,1,33,bbhs2xal,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,1,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,2,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,3,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,4,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,5,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,6,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,7,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,8,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,9,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,10,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,11,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,12,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,13,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,14,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,15,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,16,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,17,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,18,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,19,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,20,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,21,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,22,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,23,506qyrc7,,,,,0
1,ly48h6hf,,0,2,121,lottery_first_stage_intro,PCF,2022-04-02 05:09:47.603913+00:00,1,,,0.00,1,,0.00,,,,,,,,,,,,,1,24,506qyrc7,,,,,0
